zip,income,pop,unemp_pct,bb_pct,agency_cnt,agency_density,affluence
00601,18571,16721,0.215,0.356,0.0,0.0,89.1
00602,21702,37510,0.061,0.299,0.0,0.0,93.3
00603,19243,48317,0.168,0.527,0.0,0.0,94.6
00606,20226,5435,0.0,0.241,0.0,0.0,83.2
00610,23732,25413,0.063,0.346,0.0,0.0,91.2
00611,22566,1522,0.183,0.283,0.0,0.0,76.6
00612,23831,62462,0.158,0.503,0.0,0.0,95.9
00616,21391,9836,0.191,0.489,0.0,0.0,86.3
00617,22010,22699,0.146,0.558,0.0,0.0,90.6
00622,26682,7950,0.145,0.39,0.0,0.0,85.2
00623,25614,39005,0.144,0.49,0.0,0.0,93.5
00624,21091,21374,0.09,0.54,0.0,0.0,90.3
00627,26094,32753,0.033,0.453,0.0,0.0,92.6
00631,18295,1357,0.218,0.327,0.0,0.0,76.0
00636,-666666666,1071,0.0,0.601,0.0,0.0,36.2
00637,20665,22884,0.134,0.356,0.0,0.0,90.7
00638,20878,17410,0.144,0.243,0.0,0.0,89.3
00641,17839,23962,0.253,0.29,0.0,0.0,90.9
00646,33184,36099,0.115,0.611,0.0,0.0,93.1
00647,20357,4611,0.261,0.3,0.0,0.0,82.4
00650,19811,13457,0.248,0.452,0.0,0.0,87.9
00652,31653,4492,0.105,0.653,0.0,0.0,82.2
00653,15225,8665,0.272,0.314,0.0,0.0,85.6
00656,21511,17815,0.191,0.489,0.0,0.0,89.4
00659,27297,37203,0.076,0.517,0.0,0.0,93.2
00660,24829,15439,0.135,0.498,0.0,0.0,88.6
00662,20673,40705,0.081,0.336,0.0,0.0,93.7
00664,18065,14816,0.178,0.283,0.0,0.0,88.4
00667,18729,23116,0.203,0.396,0.0,0.0,90.7
00669,19198,27534,0.134,0.381,0.0,0.0,91.6
00670,16278,8553,0.065,0.293,0.0,0.0,85.6
00674,20039,39288,0.174,0.503,0.0,0.0,93.5
00676,21230,36836,0.191,0.523,0.0,0.0,93.2
00677,24746,15432,0.061,0.297,0.0,0.0,88.6
00678,22994,24848,0.081,0.453,0.0,0.0,91.1
00680,17857,42817,0.206,0.459,0.0,0.0,93.9
00682,18067,29939,0.25,0.51,0.0,0.0,92.1
00683,18231,29431,0.07,0.339,0.0,0.0,92.0
00685,17909,40323,0.141,0.369,0.0,0.0,93.6
00687,23010,28534,0.131,0.371,0.0,0.0,91.8
00688,18014,10985,0.191,0.428,0.0,0.0,86.9
00690,24386,6275,0.099,0.524,0.0,0.0,84.0
00692,25486,32717,0.192,0.514,0.0,0.0,92.5
00693,24072,55725,0.136,0.506,0.0,0.0,95.3
00694,15938,125,0.0,0.0,0.0,0.0,63.7
00698,21921,32945,0.135,0.444,0.0,0.0,92.6
00703,22147,24642,0.058,0.373,0.0,0.0,91.1
00704,23330,6433,0.036,0.638,0.0,0.0,84.1
00705,21806,24475,0.064,0.475,0.0,0.0,91.0
00707,19173,10400,0.168,0.246,0.0,0.0,86.6
00714,18931,15573,0.088,0.434,0.0,0.0,88.7
00715,15743,2003,0.05,0.547,0.0,0.0,78.0
00716,19522,27705,0.117,0.475,0.0,0.0,91.7
00717,13282,14651,0.177,0.45,0.0,0.0,88.4
00718,21481,23174,0.092,0.354,0.0,0.0,90.8
00719,21089,29732,0.163,0.259,0.0,0.0,92.0
00720,19049,20974,0.143,0.26,0.0,0.0,90.2
00723,23599,15835,0.102,0.294,0.0,0.0,88.8
00725,27505,76246,0.103,0.405,0.0,0.0,96.9
00727,33403,53412,0.073,0.516,0.0,0.0,95.1
00728,20351,37322,0.091,0.564,0.0,0.0,93.2
00729,28765,47653,0.144,0.466,0.0,0.0,94.5
00730,18077,31976,0.209,0.486,0.0,0.0,92.4
00731,16917,10221,0.115,0.389,0.0,0.0,86.5
00735,23009,11159,0.103,0.41,0.0,0.0,87.0
00736,28652,45528,0.057,0.424,0.0,0.0,94.3
00738,25365,29797,0.18,0.555,0.0,0.0,92.1
00739,26801,34595,0.05,0.41,0.0,0.0,92.8
00740,23173,1959,0.238,0.558,0.0,0.0,77.9
00741,25827,3733,0.057,0.452,0.0,0.0,81.3
00745,26980,47077,0.163,0.499,0.0,0.0,94.4
00751,20947,19596,0.081,0.563,0.0,0.0,89.9
00754,21193,36822,0.074,0.312,0.0,0.0,93.2
00757,23350,19974,0.062,0.602,0.0,0.0,90.0
00765,17531,8147,0.086,0.223,0.0,0.0,85.3
00766,24906,21829,0.135,0.412,0.0,0.0,90.4
00767,21414,30453,0.094,0.223,0.0,0.0,92.2
00769,20514,33953,0.069,0.541,0.0,0.0,92.7
00771,25662,35165,0.077,0.448,0.0,0.0,92.9
00772,18408,16961,0.233,0.39,0.0,0.0,89.1
00773,23769,17631,0.225,0.509,0.0,0.0,89.3
00775,27614,1281,0.033,0.175,0.0,0.0,75.7
00777,28175,37243,0.092,0.392,0.0,0.0,93.2
00778,39564,40391,0.13,0.464,0.0,0.0,93.6
00780,26483,13612,0.12,0.564,0.0,0.0,88.0
00782,17090,18397,0.152,0.264,0.0,0.0,89.6
00783,24429,34266,0.08,0.289,0.0,0.0,92.8
00784,20347,35405,0.07,0.473,0.0,0.0,93.0
00786,-666666666,135,0.0,0.0,0.0,0.0,25.5
00791,25925,45912,0.059,0.426,0.0,0.0,94.3
00794,22128,28450,0.145,0.228,0.0,0.0,91.8
00795,23391,43212,0.185,0.493,0.0,0.0,94.0
00901,25810,6762,0.132,0.494,0.0,0.0,84.4
00906,-666666666,46,0.0,1.0,0.0,0.0,20.0
00907,42116,15911,0.071,0.597,0.0,0.0,88.8
00909,26066,5466,0.111,0.449,0.0,0.0,83.3
00911,44008,7430,0.109,0.551,0.0,0.0,84.8
00912,29418,6219,0.084,0.491,0.0,0.0,83.9
00913,6229,6700,0.317,0.314,0.0,0.0,84.3
00915,14502,24484,0.229,0.287,0.0,0.0,91.0
00917,19516,18216,0.198,0.394,0.0,0.0,89.5
00918,36872,16379,0.12,0.53,0.0,0.0,89.0
00920,29914,16403,0.098,0.445,0.0,0.0,89.0
00921,21797,34197,0.176,0.435,0.0,0.0,92.8
00923,18482,24826,0.207,0.34,0.0,0.0,91.1
00924,22433,47800,0.172,0.414,0.0,0.0,94.5
00925,14940,4777,0.11,0.262,0.0,0.0,82.5
00926,39543,93308,0.104,0.559,0.0,0.0,98.0
00927,39838,13675,0.086,0.65,0.0,0.0,88.0
00934,-666666666,80,0.0,0.5,0.0,0.0,22.8
00949,33380,66714,0.086,0.587,0.0,0.0,96.2
00950,-666666666,0,-6666666.66,,0.0,0.0,0.0
00951,22222,399,0.068,0.494,0.0,0.0,69.7
00952,21960,8488,0.123,0.53,0.0,0.0,85.5
00953,33888,66475,0.082,0.457,0.0,0.0,96.2
00956,28674,67050,0.078,0.483,0.0,0.0,96.3
00957,29663,40357,0.068,0.527,0.0,0.0,93.6
00959,31400,46409,0.086,0.563,0.0,0.0,94.4
00960,-666666666,3340,0.0,,0.0,0.0,42.2
00961,37015,28891,0.124,0.584,0.0,0.0,91.9
00962,20134,19213,0.143,0.401,0.0,0.0,89.8
00965,16516,5886,0.151,0.355,0.0,0.0,83.6
00966,56421,17715,0.1,0.677,0.0,0.0,89.4
00968,60353,3488,0.0,0.621,0.0,0.0,80.9
00969,58205,41619,0.072,0.715,0.0,0.0,93.8
00971,32098,25499,0.081,0.534,0.0,0.0,91.3
00976,38087,61306,0.08,0.496,0.0,0.0,95.8
00979,35521,15597,0.105,0.668,0.0,0.0,88.7
00982,26550,13839,0.159,0.544,0.0,0.0,88.1
00983,33930,31583,0.131,0.576,0.0,0.0,92.4
00985,35012,31783,0.127,0.483,0.0,0.0,92.4
00987,40295,55039,0.098,0.572,0.0,0.0,95.2
01001,71924,16136,0.052,0.673,0.0,0.0,88.9
01002,69411,24726,0.06,0.844,0.0,0.0,91.1
01003,-666666666,12458,0.178,0.735,0.0,0.0,49.0
01005,97390,4786,0.023,0.785,0.0,0.0,82.6
01007,99056,15406,0.016,0.807,0.0,0.0,88.6
01008,90625,1324,0.006,0.458,0.0,0.0,75.9
01009,70763,790,0.089,0.943,0.0,0.0,73.2
01010,101477,3694,0.027,0.83,0.0,0.0,81.2
01011,87012,1205,0.022,0.596,0.0,0.0,75.4
01012,75526,387,0.048,0.61,0.0,0.0,69.5
01013,64039,22950,0.068,0.664,3.0,0.131,90.7
01020,70971,30230,0.061,0.733,0.0,0.0,92.1
01022,56307,2045,0.111,0.756,0.0,0.0,78.1
01026,98438,1005,0.008,0.679,0.0,0.0,74.5
01027,73657,17678,0.053,0.796,0.0,0.0,89.4
01028,100997,16283,0.036,0.792,0.0,0.0,88.9
01029,99188,652,0.03,0.685,0.0,0.0,72.2
01030,92485,12374,0.037,0.647,0.0,0.0,87.5
01031,58125,1715,0.022,0.785,0.0,0.0,77.2
01032,79583,503,0.0,0.66,0.0,0.0,70.9
01033,110188,6088,0.034,0.847,0.0,0.0,83.8
01034,103603,2100,0.051,0.564,0.0,0.0,78.3
01035,117580,5299,0.036,0.875,0.0,0.0,83.1
01036,110703,4937,0.066,0.902,0.0,0.0,82.7
01037,84022,486,0.0,0.789,0.0,0.0,70.7
01038,112083,2534,0.027,0.875,0.0,0.0,79.3
01039,115114,1660,0.05,0.856,0.0,0.0,77.1
01040,51892,37949,0.069,0.526,0.0,0.0,93.3
01050,96328,2573,0.03,0.767,0.0,0.0,79.3
01053,88646,2033,0.1,0.89,0.0,0.0,78.1
01054,113750,1704,0.072,0.894,0.0,0.0,77.2
01056,78981,20846,0.042,0.714,0.0,0.0,90.2
01057,90436,8200,0.092,0.8,0.0,0.0,85.4
01060,75077,15237,0.05,0.779,10.0,0.656,88.6
01062,87800,9188,0.036,0.807,0.0,0.0,86.0
01063,250001,2121,0.119,1.0,0.0,0.0,78.3
01066,-666666666,115,0.0,0.55,0.0,0.0,24.7
01068,96207,1623,0.031,0.766,0.0,0.0,76.9
01069,79725,9077,0.042,0.81,0.0,0.0,85.9
01070,72083,593,0.007,0.717,0.0,0.0,71.7
01071,107292,1219,0.023,0.556,0.0,0.0,75.5
01072,103188,1447,0.091,0.836,0.0,0.0,76.4
