yelp_alias,title,parent_aliases,naics6,naics3,naics_title,urgency,ticket_band,maturity
3dprinting,3D Printing,['localservices'],,,,0.5,mid,established
abruzzese,Abruzzese,['italian'],,,,0.5,mid,established
absinthebars,Absinthe Bars,['bars'],,,,0.5,mid,established
acaibowls,Acai Bowls,['food'],,,,0.5,mid,established
accessories,Accessories,['fashion'],,,,0.5,mid,established
accountants,Accountants,['professional'],,,,0.5,mid,established
acnetreatment,Acne Treatment,['beautysvc'],,,,0.5,mid,established
active,Active Life,[],,,,0.5,mid,established
acupuncture,Acupuncture,['health'],,,,0.5,mid,established
addictionmedicine,Addiction Medicine,['physicians'],,,,0.5,mid,established
adoptionservices,Adoption Services,['localservices'],,,,0.5,mid,established
adult,Adult Shops,['shopping'],,,,0.5,mid,established
adultedu,Adult Education,['education'],,,,0.5,mid,established
adultentertainment,Adult Entertainment,['nightlife'],,,,0.5,mid,established
advertising,Advertising,['professional'],,,,0.5,mid,established
aerialfitness,Aerial Fitness,['fitness'],,,,0.5,mid,established
aerialtours,Aerial Tours,['tours'],,,,0.5,mid,established
aestheticians,Aestheticians,['medicalspa'],,,,0.5,mid,established
afghani,Afghan,['restaurants'],,,,0.5,mid,established
african,African,['restaurants'],,,,0.5,mid,established
afrobrazilian,Afro-Brazilian,['religiousorgs'],,,,0.5,mid,established
agriturismi,Agriturismi,['hotels'],,,,0.5,mid,established
aircraftdealers,Aircraft Dealers,['auto'],,,,0.5,mid,established
aircraftrepairs,Aircraft Repairs,['auto'],,,,0.5,mid,established
airductcleaning,Air Duct Cleaning,['localservices'],,,,0.5,mid,established
airlines,Airlines,['transport'],,,,0.5,mid,established
airport_shuttles,Airport Shuttles,['transport'],,,,0.5,mid,established
airportlounges,Airport Lounges,['bars'],,,,0.5,mid,established
airports,Airports,['hotelstravel'],,,,0.5,mid,established
airportterminals,Airport Terminals,['airports'],,,,0.5,mid,established
airsoft,Airsoft,['active'],,,,0.5,mid,established
alentejo,Alentejo,['portuguese'],,,,0.5,mid,established
algarve,Algarve,['portuguese'],,,,0.5,mid,established
allergist,Allergists,['physicians'],,,,0.5,mid,established
alsatian,Alsatian,['french'],,,,0.5,mid,established
alternativemedicine,Alternative Medicine,['health'],,,,0.5,mid,established
altoatesine,Altoatesine,['italian'],,,,0.5,mid,established
amateursportsteams,Amateur Sports Teams,['active'],,,,0.5,mid,established
amusementparks,Amusement Parks,['active'],,,,0.5,mid,established
andalusian,Andalusian,['restaurants'],,,,0.5,mid,established
anesthesiologists,Anesthesiologists,['physicians'],,,,0.5,mid,established
animalassistedtherapy,Animal Assisted Therapy,['health'],,,,0.5,mid,established
animalholistic,Holistic Animal Care,['petservices'],,,,0.5,mid,established
animalphysicaltherapy,Animal Physical Therapy,['petservices'],,,,0.5,mid,established
animalshelters,Animal Shelters,['pets'],,,,0.5,mid,established
antiques,Antiques,['shopping'],,,,0.5,mid,established
apartmentagents,Apartment Agents,['realestateagents'],,,,0.5,mid,established
apartments,Apartments,['realestate'],,,,0.5,mid,established
appliances,Appliances,['homeandgarden'],,,,0.5,mid,established
appraisalservices,Appraisal Services,['localservices'],,,,0.5,mid,established
apulian,Apulian,['italian'],,,,0.5,mid,established
aquariums,Aquariums,['active'],,,,0.5,mid,established
aquariumservices,Aquarium Services,['petservices'],,,,0.5,mid,established
arabian,Arabic,['restaurants'],,,,0.5,mid,established
arabpizza,Arab Pizza,['arabian'],,,,0.5,mid,established
arcades,Arcades,['arts'],,,,0.5,mid,established
archery,Archery,['active'],,,,0.5,mid,established
architects,Architects,['professional'],,,,0.5,mid,established
architecturaltours,Architectural Tours,['tours'],,,,0.5,mid,established
argentine,Argentine,['restaurants'],,,,0.5,mid,established
armenian,Armenian,['restaurants'],,,,0.5,mid,established
arroceria_paella,Arroceria / Paella,['spanish'],,,,0.5,mid,established
artclasses,Art Classes,['education'],,,,0.5,mid,established
artconsultants,Art Consultants,['professional'],,,,0.5,mid,established
artificialturf,Artificial Turf,['homeservices'],,,,0.5,mid,established
artinstallation,Art Installation,['localservices'],,,,0.5,mid,established
artmuseums,Art Museums,['museums'],,,,0.5,mid,established
artrestoration,Art Restoration,['localservices'],,,,0.5,mid,established
arts,Arts & Entertainment,[],,,,0.5,mid,established
artsandcrafts,Arts & Crafts,['shopping'],,,,0.5,mid,established
artschools,Art Schools,['specialtyschools'],,,,0.5,mid,established
artspacerentals,Art Space Rentals,['realestate'],,,,0.5,mid,established
artsupplies,Art Supplies,['artsandcrafts'],,,,0.5,mid,established
arttours,Art Tours,['tours'],,,,0.5,mid,established
asianfusion,Asian Fusion,['restaurants'],,,,0.5,mid,established
assistedliving,Assisted Living Facilities,['health'],,,,0.5,mid,established
astrologers,Astrologers,['psychic_astrology'],,,,0.5,mid,established
asturian,Asturian,['restaurants'],,,,0.5,mid,established
ateliers,Ateliers,['artsandcrafts'],,,,0.5,mid,established
attractionfarms,Attraction Farms,['farms'],,,,0.5,mid,established
atvrentals,ATV Rentals/Tours,['active'],,,,0.5,mid,established
auctionhouses,Auction Houses,['shopping'],,,,0.5,mid,established
audiologist,Audiologist,['physicians'],,,,0.5,mid,established
audiovisualequipmentrental,Audio/Visual Equipment Rental,['partyequipmentrentals'],,,,0.5,mid,established
australian,Australian,['restaurants'],,,,0.5,mid,established
austrian,Austrian,['restaurants'],,,,0.5,mid,established
authorized_postal_representative,Authorized Postal Representative,['publicservicesgovt'],,,,0.5,mid,established
auto,Automotive,[],,,,0.5,mid,established
auto_detailing,Auto Detailing,['auto'],,,,0.5,mid,established
autocustomization,Auto Customization,['auto'],,,,0.5,mid,established
autodamageassessment,Car Inspectors,['auto'],,,,0.5,mid,established
autoelectric,Auto Electric Services,['auto'],,,,0.5,mid,established
